report_date,account_id,campaign_id,impressions,clicks,costs,conversions
2020-04-01 00:00:00,1001388197,30411163,820,0,0.0,0
2020-04-01 00:00:00,1001388197,30411163,23501,13,1083.967,0
2020-04-01 00:00:00,1001718067,30376558,162911,96,2259.208,0
2020-04-01 00:00:00,1001396452,30354006,7523,11,1387.892,0
2020-04-01 00:00:00,1001396452,24933154,0,0,0.0,0
2020-04-01 00:00:00,1001396452,30279304,3154,5,364.103,0
2020-04-01 00:00:00,1001396452,30279304,390,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,467,0,0.0,0
2020-04-01 00:00:00,1001396452,30423076,0,0,0.0,0
2020-04-01 00:00:00,1001396452,30279305,281,0,0.0,0
2020-04-01 00:00:00,1001396452,30279304,79,0,0.0,0
2020-04-01 00:00:00,1001396452,30245154,0,0,0.0,0
2020-04-01 00:00:00,1001854178,30284389,2259,7,1211.337,0
2020-04-01 00:00:00,1001289337,24471017,140,0,0.0,0
2020-04-01 00:00:00,1001289337,26114546,2219,4,739.128,1
2020-04-01 00:00:00,1001388197,30165046,5,0,0.0,0
2020-04-01 00:00:00,1001396452,30279305,342,1,56.925,0
2020-04-01 00:00:00,1001289337,24471016,221,0,0.0,0
2020-04-01 00:00:00,1001289337,28439198,13,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,749,1,181.199,0
2020-04-01 00:00:00,1001289337,24471016,191,0,0.0,0
2020-04-01 00:00:00,1001388197,30411164,2735,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,1,0,0.0,0
2020-04-01 00:00:00,1001289337,24471017,106,0,0.0,0
2020-04-01 00:00:00,1001289337,28439198,467,1,249.246,0
2020-04-01 00:00:00,1001388197,30356586,3,0,0.0,0
2020-04-01 00:00:00,1001388197,30165046,7,1,259.857,0
2020-04-01 00:00:00,1001388197,30411164,1002,0,0.0,0
2020-04-01 00:00:00,1001388197,30411164,1188,0,0.0,0
2020-04-01 00:00:00,1001388197,30411163,14943,2,278.822,0
2020-04-01 00:00:00,1001289337,26114546,2479,6,453.627,0
2020-04-01 00:00:00,1001289337,24471016,3330,0,0.0,0
2020-04-01 00:00:00,1001854178,30284391,904,3,316.051,0
2020-04-01 00:00:00,1001289337,24471016,557,0,0.0,0
2020-04-01 00:00:00,1001718067,30376559,550673,149,2743.943,0
2020-04-01 00:00:00,1001396452,30279304,180,0,0.0,0
2020-04-01 00:00:00,1001718067,30376558,2231,2,30.285,0
2020-04-01 00:00:00,1001396452,30279304,1080,3,227.088,0
2020-04-01 00:00:00,1001289337,28439198,44,0,0.0,0
2020-04-01 00:00:00,1001388197,30411164,1595,4,480.632,0
2020-04-01 00:00:00,1001396452,30136449,1477,1,149.301,0
2020-04-01 00:00:00,1001396452,30279304,1025,0,0.0,0
2020-04-01 00:00:00,1001396452,30279304,463,0,0.0,0
2020-04-01 00:00:00,1001396452,24933154,0,0,0.0,0
2020-04-01 00:00:00,1001718067,30376558,378618,314,9585.593,10
2020-04-01 00:00:00,1001396452,30136449,2348,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,162,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,5185,2,185.946,0
2020-04-02 00:00:00,1001388197,30411163,308033,189,14530.904,6
2020-04-02 00:00:00,1001388197,30411164,3239,1,32.536,0
2020-04-02 00:00:00,1001396452,30117280,4973,3,131.643,0
2020-04-02 00:00:00,1001396452,30279306,2373,4,141.262,0
2020-04-02 00:00:00,1001396452,30299635,1304,0,0.0,0
2020-04-02 00:00:00,1001396452,30145511,1245,0,0.0,0
2020-04-02 00:00:00,1001396452,30299635,495,1,88.429,0
2020-04-02 00:00:00,1001396452,30299635,1430,0,0.0,0
2020-04-02 00:00:00,1001289337,24471016,310,0,0.0,0
2020-04-02 00:00:00,1001396452,30145511,4995,2,208.287,0
2020-04-02 00:00:00,1001289337,24471016,593,1,447.523,0
2020-04-02 00:00:00,1001289337,28439198,378,0,0.0,0
2020-04-02 00:00:00,1001289337,28439198,627,3,265.487,0
2020-04-02 00:00:00,1001289337,24471016,1183,0,0.0,0
2020-04-02 00:00:00,1001388197,30411164,339,1,147.115,0
2020-04-02 00:00:00,1001289337,24471016,3115,0,0.0,0
2020-04-02 00:00:00,1001396452,30279305,102,0,0.0,0
2020-04-02 00:00:00,1001289337,28439198,43,1,82.615,0
2020-04-02 00:00:00,1001396452,30413682,9016,8,727.778,0
2020-04-02 00:00:00,1001396452,30279305,212,2,204.112,0
2020-04-02 00:00:00,1001396452,30279305,257,1,93.569,0
2020-04-02 00:00:00,1001718067,30376559,2665,1,15.688,0
2020-04-02 00:00:00,1001718067,30376559,44324,25,431.651,0
2020-04-02 00:00:00,1001289337,26114546,698,5,1171.044,4
2020-04-02 00:00:00,1001289337,24471016,65,0,0.0,0
2020-04-02 00:00:00,1001289337,24471016,373,0,0.0,0
2020-04-02 00:00:00,1001289337,28439198,310,2,107.087,1
2020-04-02 00:00:00,1001396452,30413683,5163,8,308.365,0
2020-04-02 00:00:00,1001388197,30411164,3262,2,149.157,0
2020-04-02 00:00:00,1001289337,24471016,192,0,0.0,0
2020-04-02 00:00:00,1001289337,24471016,3253,0,0.0,0
2020-04-02 00:00:00,1001396452,30279304,1753,6,319.525,0
